question_text,question_context,grade,topic,followup_1,followup_1_context,followup_2,followup_2_context,answer_junior,answer_middle,answer_senior,source
Чем синхронная интеграция отличается от асинхронной и как выбрать нужную?,"Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",джун-мидл,интеграции,Пользователь оплачивает заказ. Уведомление уходит в CRM. Какое взаимодействие где и почему?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Webhooks - синхронное или асинхронное? Почему оба варианта подходят?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Синхронно - ждем ответ, асинхронно - не ждем. Минус: нет критериев выбора.","Синхронно - когда нужен ответ сразу, асинхронно - когда можно подождать. Минус: не связывает с надежностью и связанностью систем.","Синхронно - когда результат нужен здесь и сейчас для продолжения сценария и вызывающий готов ждать и падать вместе с вызываемым. Асинхронно - когда можно отложить, важна устойчивость и нужно развязать жизненные циклы систем. Оплата заказа - синхронно: пользователь ждет результат, от него зависит следующий шаг. Уведомление в CRM - асинхронно через брокер: пользователю не важно, CRM может лежать, ретраи не должны блокировать оплату. Webhook - асинхронный по природе (вызывающая система не ждет результата бизнес-обработки), но технически это обычный синхронный HTTP-вызов в обратную сторону; поэтому нужны подтверждение приема, ретраи и идемпотентность на приемнике.","Катя, Карта зон роста"
Чем монолит отличается от микросервисов и как проектируется каждый?,"Представь, что интервьюер просит тебя объяснить архитектурное решение на реальном продукте.",мидл,архитектура,Когда микросервисы - это плохой выбор? Назови 3 ситуации.,"интервьюер хочет проверить, как ты применишь ответ на практике.",Что такое распределенная транзакция и почему она сложнее в микросервисах?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Монолит - одно приложение, микросервисы - много маленьких. Минус: определение без trade-off.","Знает про независимый деплой и масштабирование. Минус: микросервисы как безусловное благо, не видит цену.","Микросервисы - это про организационную и операционную независимость, а не про размер кода: свой деплой, своя БД, своя команда. Цена: сеть между сервисами, распределенные данные, сложность эксплуатации. Плохой выбор: маленькая команда без DevOps-зрелости; неустоявшийся домен, где границы сервисов еще поедут; сильно связанные данные, где почти каждая операция затрагивает несколько сервисов. Распределенная транзакция сложна тем, что нет общего ACID: нельзя откатить чужой сервис одним rollback. Решения - SAGA с компенсирующими операциями или 2PC (дорого и блокирует), плюс outbox для надежной публикации событий.","Катя, Карта зон роста"
Расскажи про нотацию C4: какие уровни и что показывает каждый?,"Представь, что интервьюер просит тебя объяснить архитектурное решение на реальном продукте.",мидл,архитектура,Что показывает context-диаграмма в C4 и чем она отличается от container?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Как на C4 отрисовать модульный монолит?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"C4 - это способ рисовать архитектуру, четыре уровня. Минус: не различает уровни по назначению.","Называет context, container, component, code. Минус: не связывает уровень с аудиторией.","C4 - четыре уровня масштаба под разную аудиторию. Context: система как черный ящик, внешние акторы и системы - язык бизнеса. Container: развертываемые единицы (сервисы, БД, фронт) и протоколы между ними - язык разработки и инфраструктуры. Component: внутренности одного контейнера. Code: почти не рисуют, генерируют. Модульный монолит на C4: на уровне container это один контейнер (приложение) плюс БД, а модули и их границы показываются на уровне component - именно так видно, что монолит модульный, а не размазанный.","Катя, Карта зон роста"
"Как спроектируешь схему БД: ER-модель, нормализация, связи many-to-many?","Представь, что собеседование дошло до хранения данных и практических решений по базе.",джун-мидл,бд,Как развязать связь многие-ко-многим? Нарисуй на примере пользователи и роли.,"интервьюер хочет проверить, как ты применишь ответ на практике.",Что такое нормализация до 3НФ и зачем она нужна? Где она мешает?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,Нарисую таблицы и свяжу их. Минус: нет нормализации и понимания связей.,"Строю ER, нормализую, связь многие-ко-многим через промежуточную таблицу. Минус: нормализация как догма, без trade-off.","Многие-ко-многим развязывается связующей таблицей: users, roles и user_roles с двумя FK и составным первичным ключом (user_id, role_id) - это заодно запрещает дубли. В связующую таблицу часто добавляют атрибуты самой связи: кто выдал роль и когда. 3НФ - каждый неключевой атрибут зависит от ключа целиком и не зависит от других неключевых; цель - убрать аномалии вставки/обновления/удаления и дублирование. Мешает на тяжелом чтении: много JOIN на горячих запросах и в аналитике - там осознанно денормализуют, принимая цену рассинхронизации.","Катя, Карта зон роста"
"Как написать постановку на API-интеграцию, чтобы разработчик реализовал ее без вопросов?","Представь, что интервьюер проверяет, как ты работаешь с требованиями в реальном проекте.",мидл,требования,Что должно быть в постановке на REST-эндпоинт кроме URL и метода?,"интервьюер хочет проверить, как ты применишь ответ на практике.","Как описать сценарии ошибок в постановке? Что разработчик должен сделать при 503, 400, 401, 403?",Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Опишу метод, URL и что он делает. Минус: разработчик придет с десятком вопросов.","Опишу запрос, ответ, основные ошибки. Минус: нет NFR, авторизации, ретраев, логирования.","Кроме метода и URI: контекст и бизнес-цель, sequence-диаграмма, описание всех параметров с типами, обязательностью и правилами валидации, тело запроса и ответа с примерами, полный перечень ошибок с бизнес-трактовкой, авторизация, идемпотентность, таймауты и политика ретраев, NFR (latency, RPS), требования к логированию и correlation id. По кодам: 400 - клиент прислал некорректный запрос, ретраить бессмысленно, чинить запрос; 401 - не аутентифицирован, обновить токен и повторить один раз; 403 - аутентифицирован, но нет прав, ретрай не поможет, эскалация; 503 - временная недоступность,","Катя, Карта зон роста"
Как ты собираешь требования с бизнеса и фиксируешь договоренности?,"Представь, что интервьюер проверяет, как ты работаешь с требованиями в реальном проекте.",джун-мидл,требования,Бизнес говорит хочу уведомления. Какие 5 уточняющих вопросов ты задашь?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Как зафиксировать договоренность чтобы через 2 недели никто не сказал я такого не говорил?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Спрошу, что нужно, и запишу. Минус: пересказ хотелок без выявления скрытого.","Провожу интервью, задаю уточняющие вопросы, пишу в задачу. Минус: нет работы с противоречиями и фиксацией.","Пять вопросов по уведомлениям: кому (сегмент получателей), по какому событию и с какой задержкой допустимо, по какому каналу (push/email/sms) и что если канал недоступен, что именно в тексте и кто его владелец, что при массовой отправке - лимиты, отписка, дубли. Плюс всегда спрашиваю, какую проблему решаем и как поймем, что решили. Фиксация: письменный артефакт в едином месте (задача, спека), а не в переписке; протокол встречи с решениями и владельцами сразу после встречи; явное подтверждение от стейкхолдера - хотя бы отбитое сообщение подтверждаю; версионирование и changelog изменений требований, чтобы было видно, кто и когда что поменял.","Катя, Карта зон роста"
Как ты декомпозируешь большой эпик на задачи для разработчиков?,"Представь, что интервьюер проверяет, как ты работаешь с требованиями в реальном проекте.",мидл,требования,Тебе дали эпик внедрить платежный модуль. С чего начнешь декомпозицию?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Как определить минимальный объем задачи который можно взять в спринт?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,Разобью на несколько задач по логике. Минус: разбиение по слоям или на глаз.,"Разбиваю на функциональные куски, оцениваю каждый. Минус: нет критериев готовности и вертикальных срезов.","Начинаю не с задач, а с границ: какой сценарий пользователя, какие внешние системы, где границы ответственности. Дальше строю карту сценариев и режу вертикально - тонкими срезами, каждый из которых дает работающий кусок ценности (например, оплата картой одним способом без сохранения карты), а не горизонтально по слоям (сначала вся БД, потом весь бэкенд). По платежному модулю: сначала happy path одного способа оплаты, потом ошибки и таймауты провайдера, потом возвраты, потом остальные способы. Критерий минимальной задачи: понятны вход и выход, есть критерии приемки, реализуема за спринт одной командой, не требует другой незакрытой задачи, и результат можно продемонстрировать.","Катя, Карта зон роста"
"Как ты описываешь требования к атрибутам качества: производительность, доступность, масштабируемость?","Представь, что интервьюер проверяет, как ты работаешь с требованиями в реальном проекте.",мидл-сеньор,требования,Система должна быть быстрой - это NFR? Как переформулировать корректно?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Что такое SLO и SLA и как ты их формулируешь в постановке задачи? Где взять эти цифры под систему?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Пишу, что система должна быть быстрой и доступной. Минус: неизмеримо.","Пишу конкретные числа: 200 мс, 99.9%. Минус: числа взяты с потолка, нет условий замера.","Быстро - это не NFR, это пожелание: нет метрики, значения, условий замера и способа проверки. Корректно: p95 времени ответа не более 300 мс при нагрузке 500 RPS в течение часа пиковой нагрузки. SLI - сама метрика (доля успешных ответов, latency). SLO - внутренняя цель по этой метрике (99.9% за месяц). SLA - внешнее обязательство перед клиентом с последствиями за нарушение; SLA всегда мягче SLO, чтобы был запас. Цифры беру не из головы: из фактической телеметрии текущей системы, из бизнес-контекста (сколько стоит минута простоя, сколько пользователей в пике), из ограничений смежных систем. ","Катя, Карта зон роста"
Что такое API Gateway и зачем он нужен? Является ли он точкой отказа?,"Представь, что интервьюер просит тебя объяснить архитектурное решение на реальном продукте.",мидл,архитектура,"Какие функции выносят в gateway, а какие оставляют в сервисах?","интервьюер хочет проверить, как ты применишь ответ на практике.",Как избежать превращения gateway в узкое место?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Gateway - это вход в систему, через него идут запросы. Минус: нет функций и рисков.","Знает про маршрутизацию, авторизацию, rate limiting. Минус: не видит его как точку отказа.","API Gateway - единая точка входа: маршрутизация, аутентификация и авторизация, rate limiting, терминация TLS, агрегация метрик и логов, версионирование внешнего API. В сервисах остается бизнес-логика и доменная авторизация - в gateway ее тащить нельзя. Да, это архитектурная точка отказа: если gateway лег, недоступна вся система. Лечится резервированием (несколько инстансов за балансировщиком, разные зоны),healthcheck и автоматическим failover, отсутствием состояния в самом gateway, ограничением логики в нем и мониторингом его латентности отдельно от сервисов.","Веб, частые вопросы 2026"
Что такое хореография и оркестрация? В чем отличия?,"Представь, что интервьюер просит тебя объяснить архитектурное решение на реальном продукте.",сеньор,архитектура,"Можно ли построить систему только на хореографии, без оркестрации?","интервьюер хочет проверить, как ты применишь ответ на практике.",Ты добавляешь новый микросервис в существующую хореографию. Как не сломать остальных?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Оркестрация - есть главный, хореография - нет. Минус: определение без последствий.",Объясняет разницу и приводит пример. Минус: не называет цену каждого подхода.,"Оркестрация: центральный координатор явно вызывает шаги и знает весь процесс - легко отследить и отладить, весь сценарий в одном месте, но координатор становится узким местом и точкой связанности. Хореография: сервисы публикуют события и реагируют на чужие, центра нет - слабая связанность и легкое добавление подписчиков, но общий процесс нигде не описан целиком, отладка и отслеживание состояния сложнее, легко получить неявные циклы. Только на хореографии построить можно, но на сложных процессах с компенсациями и таймаутами это дорого: обычно длинные бизнес-процессы оркеструют, а уведомления и побочные эффекты делают хореографией. Новый подписчик безопасен, если он только читает существующие события и не меняет их контракт, не публикует события с уже занятыми именами и идемпотентен - тогда остальные его просто не замечают.","Веб, частые вопросы 2026"
